SUBDIVISIONS,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,FLOOD
24 Paraganas North,2022,13.301102,36.4715861,3,4.000018149,174.9328669,103.620638,161.8759813,251.0578809,276.295997,0,11.15834054,12.52566526,1048.240076,NO
24 Paraganas South,2022,17.61037513,54.23854953,4.53669,4.11474412,198.5176561,122.4038606,153.699521,363.866108,348.626007,0,11.75898572,12.1121209,1291.484618,NO
Adilabad,2022,49.152147,2.0759051,3.2237154,5.9983824,27.96782973,188.0393796,962.06886,388.1447033,296.9172675,68.88376689,11.04041489,14.65215825,2018.16453,NO
Agar Malwa,2022,20.0668572,2,3.43597723,4,5.504517,110.8428012,496.9065083,632.7533329,115.4844625,158.1214483,11.0262548,12.01932611,1572.161486,NO
Agra,2022,27.18709,5.16062178,3,4,17.86303471,40.2385217,240.3720882,171.0965386,166.4639968,133.3894557,13.93918839,12,834.7105359,NO
Ahamadnagar,2022,0,0,0,0,0,0,0,0,0,84.70280931,0,0,84.70280931,NO
Ahmadabad,2022,2.0022268,2,3,4,5,52.9067725,358.669732,174.3214979,136.0698286,24.9453506,11,12.15736532,786.0727737,NO
Ahmednagar,2022,1.001021638,2,4.398127893,4.10470518,7.71127018,134.2997718,159.6219,116.0423737,253.0899888,0,11.13793104,13.02019292,706.4272832,NO
Aizawl,2022,14.8485248,42.15205663,30.9839791,102.787461,418.897954,463.670451,394.1946743,266.9370218,165.2055936,0,11.88566581,17.24890005,1928.812282,NO
Aizwal,2022,0,0,0,0,0,0,0,0,0,82.028648,0,0,82.028648,NO
Ajmer,2022,24.4524959,2.0791657,4.942219,4,17.2288422,63.117812,313.4248153,198.6449382,38.76400328,34.691986,11.09015697,12.01797566,724.4544103,NO
Akola,2022,4.299478427,2.035527,3.05415717,4,5.244395,106.1461009,282.757882,246.4063597,191.1600941,87.5898304,11,12.682502,956.3763267,NO
Alappuzha,2022,4.009975655,22.64112695,65.2801622,379.6188494,436.5354738,381.2550356,376.8008148,454.4571993,131.0798275,63.573296,148.029731,143.5833921,2606.864884,NO
Aligarh,2022,36.003505,26.531695,3.156445,4,33.10769009,20.886067,149.2835834,172.5714901,223.5815892,206.2908598,11.5480906,12,898.9610152,NO
Alipur Duar,2022,0,0,0,0,0,0,0,0,0,308.877088,0,0,308.877088,NO
Alipurduar,2022,8.40090674,50.1814787,38.839633,561.917605,469.4982178,1360.670752,337.9210786,583.5372555,433.692212,0,11.618033,12.00560361,3868.282776,YES
Alirajpur,2022,13.196932,2,3.707796,4,5,76.599272,313.735175,298.9995858,139.3804607,88.1713134,11,12.1592728,967.9498078,NO
Almora,2022,79.4163728,43.580712,3.6092075,7.5536393,109.4140227,117.4451808,241.7243968,251.8313151,179.4755456,180.9707918,11.7093922,13.13342826,1239.864005,NO
Alwar,2022,62.337027,10.1698729,3.042887,4.0967395,14.80873748,77.901091,229.0673585,190.4182781,161.9523928,136.0873521,15.17174986,12.00263217,917.0561184,NO
Amaravati,2022,0,0,0,0,0,0,0,0,0,85.86052402,0,0,85.86052402,NO
Ambala,2022,155.0573226,34.515981,3.0281549,4.13435414,42.5682065,57.4443714,225.9844861,121.9300957,215.9374785,44.9545896,11.00775305,12.00895747,928.5717509,NO
Ambedkar Nagar,2022,17.187363,9.02001,3,4,15.86892468,47.09841735,153.9088603,275.5567681,256.8414627,0,11.00619652,12.258672,805.7466746,NO
Ambedkarnagar,2022,0,0,0,0,0,0,0,0,0,128.419471,0,0,128.419471,NO
Amethi,2022,30.5413552,4.628165,3,4,32.98521573,38.37978308,98.2402919,163.684776,154.5732916,156.580206,11,12.08084847,709.6939329,NO
Amravati,2022,18.3415679,2.0971898,3.15715216,4.00415959,5.9137998,106.4268322,466.072584,344.6807784,243.692159,0,11,12.31218033,1217.698403,NO
Amreli,2022,1.42527515,2,3,4.00315415,5.580302,90.206901,279.800211,196.0618556,179.9388051,27.94616958,11,12.00330163,812.9659752,NO
Amritsar,2022,137.01896,32.34826381,3.805564,4.713496,14.60932341,64.28550717,243.5830112,89.09665945,46.64157037,13.803429,11.77661702,12.2232418,673.9056432,NO
Amroha,2022,119.7855469,73.28562,3,4,41.68520059,32.11633013,139.6177104,132.6270049,145.0641598,172.679405,11.00124312,12.00178988,886.8640107,NO
Anand,2022,1,2,3,4,5,51.13107535,486.282559,147.1553587,104.1663499,53.347057,11,12.39506705,880.477467,NO
Anantapur,2022,3.60936452,2,6.296774,13.62755612,113.3433482,123.8756169,55.3607061,245.2220311,89.722317,0,29.91140157,63.36505959,746.3341751,NO
Ananthapur,2022,0,0,0,0,0,0,0,0,0,126.2562428,0,0,126.2562428,NO
Anantnag,2022,138.2263666,120.1360215,25.0186069,43.32431548,93.0156458,126.1519946,115.9683739,109.0464116,36.10737231,18.333811,83.63063963,28.75382209,937.7133814,NO
Anjaw,2022,62.6319974,81.45502002,112.7614301,673.1181113,321.4991964,354.0469533,212.9634061,36.53761304,42.3551104,108.865972,11.00933118,16.04141809,2033.285559,NO
Anugul,2022,37.46514498,7.575588379,3.173438,10.5145432,86.18287742,150.230312,374.7127855,405.0989953,127.460588,101.35115,11.11437464,12.42462313,1327.304421,NO
Anuppur,2022,26.97959,28.9667,7.495532695,4.249061,21.59529575,214.2366909,289.2342974,356.4303416,269.7486271,84.319741,11,12.15303019,1326.408908,NO
Araria,2022,3.81491425,25.7276867,3.723955598,43.6555806,163.7376406,688.6878875,128.8478297,311.1332665,284.5542759,167.7468633,11,12.0310974,1844.660998,NO
Aravalli,2022,0,0,0,0,0,0,0,0,0,41.79141,0,0,41.79141,NO
Ariyalur,2022,88.5539669,40.950618,25.60267104,64.2395856,67.2469904,37.4397572,146.5770642,135.5429585,117.4368121,44.6956292,95.164439,171.684886,1035.135378,NO
Arvalli,2022,2.4887445,2,3,4,5.0264878,67.439076,409.904359,363.0070262,104.6056912,0,11,12.00389092,984.4752756,NO
Arwal,2022,32.2902506,14.153935,3,4,50.6715061,77.9138157,76.1029267,298.6665393,146.7335289,58.451831,11,12.00010559,784.9844389,NO
Ashoknagar,2022,52.700967,2,4.18778,4,19.925292,143.8003216,322.9740431,324.4959806,273.927672,85.35698898,11.07730038,12.07629733,1256.522643,NO
Auraiya,2022,15.742449,3.4590499,3,4,7.340909717,12.440152,110.0686948,232.0900317,248.8680432,99.7951925,11.1486321,12,759.9531549,NO
Aurangabad,2022,18.4913406,11.7682108,13.305326,8,19.51057727,256.9170282,416.0019902,412.3812157,443.8111552,112.1872596,22.1269052,29.84045075,1764.34146,NO
Ayodhya,2022,29.670942,8.16351555,3,4,35.460199,33.3346832,141.905069,210.9873571,256.1809984,245.13762,11.00259241,12.3465616,991.1895382,NO
Azamgarh,2022,21.21050618,5.1088877,3,4,12.06465582,63.80202802,100.8295159,251.1296213,269.9984194,127.989346,11.00150203,12.0602836,882.194766,NO
Badgam,2022,0,0,0,0,0,0,0,0,0,11.27797297,0,0,11.27797297,NO
Bagalkot,2022,0,0,0,0,0,0,0,0,0,130.808898,0,0,130.808898,NO
Bagalkote,2022,1,2,6.791104576,28.47317529,129.8860296,81.1790349,103.5373981,146.782126,143.4730953,0,11.98518012,15.64414173,670.7512856,NO
Bageshwar,2022,72.778611,54.55563034,8.72407044,20.46457648,127.4061484,236.3829671,513.54472,408.340988,230.6364591,158.4085356,23.19825361,13.32033164,1867.761292,NO
Baghpat,2022,89.36511,33.9724621,3,4,51.23314406,53.730316,115.2862918,90.42826166,121.8617114,81.0871246,11.620891,12.00104784,667.5863605,NO
Bahraich,2022,33.401893,33.60206,3,4,49.6784991,52.2431964,146.2026783,251.4977958,290.664973,398.67759,11,12.08127327,1286.049959,NO
Baksa,2022,20.0536003,82.3756127,47.921374,433.8648781,477.8547179,949.651941,178.9778999,233.5829032,127.4261283,136.0411793,11.11453471,15.71762927,2714.582399,NO
Balaghat,2022,28.99630852,10.60596704,3.0889311,6.020642732,19.5474759,143.7944044,423.63743,571.14231,314.9396156,86.41978298,11.00024173,12.29099059,1631.484101,NO
Balangir,2022,48.93693671,5.78354,3,11.14441752,50.56656802,125.9820509,336.0160226,444.8490427,156.0209998,0,11.02913566,12.8321126,1206.160827,NO
Balasore (Baleshwar),2022,0,0,0,0,0,0,0,0,0,183.272565,0,0,183.272565,NO
Baleshwar,2022,20.03173816,39.0592944,3.1930884,7.34420313,90.54737055,148.4670784,297.907889,390.6222277,145.5086413,0,11.05440857,12.12919999,1165.86514,NO
Ballari,2022,1.115781925,2,5.23551882,32.19554823,119.0552551,82.5511311,115.3250285,210.0157239,116.662294,150.183914,15.26031861,35.61450187,885.2150161,NO
Ballia,2022,8.9712989,14.73174493,3,4.00049529,48.37727253,90.9598993,110.0733079,203.5199969,224.7158964,64.23719373,11.00264134,12.23150138,795.8212485,NO
Balod,2022,52.4577911,4.425491,3,12.8695125,28.8967717,174.501549,546.887706,524.5242494,180.7744053,77.259781,11.00657309,16.2587535,1632.862584,NO
Baloda Bazar,2022,19.0064815,4.228125,3.3979313,10.9446195,14.62557672,169.1698432,500.9965247,500.6792158,139.7815504,57.292012,11,12.65741853,1443.779299,NO
Balrampur,2022,49.15174614,61.793578,6.541787,9.2422942,62.89655318,151.5398098,245.8275862,557.0841157,441.4369956,324.5639626,22.00046436,24.95180142,1957.030694,NO
Banas Kantha,2022,3.59551431,2,3,4,5.0497637,26.4129109,378.9106744,394.0471106,118.9090815,10.95186058,11.18180815,12.07583343,970.1345576,NO
Banda,2022,70.19595011,4.55539156,3,4,11.21875222,38.31258292,175.3511816,241.1471782,218.4655775,161.194857,11.00006984,12.00639235,950.4479333,NO
Bandipora,2022,101.0097441,79.49879458,38.19643278,41.39888749,61.37170687,93.64994633,90.18396717,69.1178203,17.09291247,0,120.4200014,20.64083906,732.5810525,NO
Bandipura,2022,0,0,0,0,0,0,0,0,0,11.75644636,0,0,11.75644636,NO
Banka,2022,11.422886,39.5084995,3,5.21383511,103.588583,96.12608964,84.74328959,153.7891266,216.1154007,142.372177,11.01987864,12.0345928,878.9343585,NO
Bankura,2022,30.61584664,58.35550267,3.3960679,25.809614,162.8168259,156.2130994,157.553854,268.6811436,203.0455799,111.1345353,11.00092544,12.01878791,1200.641783,NO
Banswara,2022,3.306959,2,5.150393,4,14.50386,45.03727035,435.5460889,435.8452392,128.9793417,62.13421745,11,12.00514002,1159.50851,NO
Barabanki,2022,24.7280346,14.63914565,3,4,37.3467684,30.9079155,121.3527202,188.6133618,238.6608283,328.591847,11,12.05014023,1014.890762,NO
Baragarh,2022,0,0,0,0,0,0,0,0,0,67.57646258,0,0,67.57646258,NO
Baramula,2022,0,0,0,0,0,0,0,0,0,11.4314469,0,0,11.4314469,NO
Baramulla,2022,135.4346767,94.749261,53.814811,66.4920638,85.3513091,138.5273668,98.3860225,169.2520052,35.40359572,0,115.8841125,23.23215325,1016.527378,NO
Baran,2022,33.8875,2,4.8757555,4,13.06616095,131.316571,393.190908,360.8270861,194.5239511,112.694352,11.0139605,12,1273.396245,NO
Bareilly,2022,69.233752,48.89599431,3,4.0210835,45.70598768,62.56528296,117.1563358,123.7421512,178.1959339,284.2984971,11.00010754,12.00581559,959.8209416,NO
Bargarh,2022,38.75041445,9.1961435,3.06003032,7.8945408,37.21248996,129.0811776,391.045609,471.1318506,133.1315831,0,11.15411574,12.74562911,1244.403584,NO
Barmer,2022,10.5176533,2,3.00186508,4,5.517406242,50.62786652,149.1755125,224.3942812,39.771857,10.0654826,11,12.00002556,522.07195,NO
Barnala,2022,95.8869845,17.389927,3,4.105786,21.37475724,29.584112,225.1450995,98.99415091,81.68092189,15.977117,11.984208,12.77207726,617.8951413,NO
Barpeta,2022,29.47102331,53.33926868,34.494874,335.0550271,455.5017109,1109.32465,190.8916503,296.0410519,174.4131067,157.672269,11.30551122,12.38405491,2859.894198,NO
Barwani,2022,11.653045,2,3.95743931,4,5,79.85581354,368.664922,273.5547332,194.924807,117.885172,11,13.8879721,1086.383904,NO
Bastar,2022,55.8024596,4.755481749,3.198168,62.06583924,85.19890306,119.3441761,566.542654,562.092848,201.0319395,69.3596812,11.2138654,18.63793414,1759.24395,NO
Basti,2022,30.36268128,16.47714353,3,4,21.1399725,69.1668972,108.1785354,312.5883206,263.3297335,171.208477,11.00131779,12.10895926,1022.562038,NO
Bathinda,2022,73.17781273,16.63071763,3.1331147,4.17038997,21.49849085,26.50642453,129.4052229,84.55482572,52.13466481,11.2499435,11.45957285,12.91094951,446.8321297,NO
Baudh (Bauda),2022,0,0,0,0,0,0,0,0,0,136.211206,0,0,136.211206,NO
Beed,2022,1.135224,2,3,4.0374602,5.23153636,160.0165435,223.155264,112.4610516,197.108134,0,11.00400927,12.80007876,731.9493016,NO
